country_name,top_country,population,health_expenditure_per_person,edu_expenditure_per_person,political_stability,gov_effectiveness,regulatory_quality,rule_of_law,control_corruption,judicial_effectiveness_score,government_integrity_score,property_rights_score,overall_economic_freedom_score,financial_freedom_score
Serbia,0,7000000,1324,259.1827515,0.1,0.19,0.01,-0.19,-0.37,48.2,36.5,46.2,62.5,50
Seychelles,0,100000,867,NA,0.68,0.42,-0.18,0.1,0.68,38.8,38.8,60.7,61.6,30
Sierra Leone,0,8000000,256,18.86510554,0.03,-1.21,-0.92,-0.79,-0.59,29.6,22,33.6,51.8,20
Singapore,2,6000000,3681,NA,1.59,2.21,2.12,1.82,2.13,90.9,91.2,98.4,88.8,80
Slovakia,0,5000000,2062,788.1645102,0.88,0.81,0.82,0.57,0.22,38.8,38.2,68.2,65.3,70
Slovenia,0,2100000,2734,1281.383129,0.89,1.17,0.58,1.02,0.81,57.7,52.1,76.6,64.8,50
Solomon Islands,0,600000,173,NA,0.21,-1.01,-0.8,-0.21,0.11,57.3,36.8,49.4,57.5,30
Somalia,0,15000000,NA,NA,-2.33,-2.21,-2.29,-2.31,-1.72,25.4,17.8,33.1,NA,NA
South Africa,0,57000000,1086,389.0572275,-0.27,0.28,0.23,-0.01,-0.01,65.9,45.4,67.7,63,50
South Sudan,0,13000000,71,22.43112623,-2.46,-2.48,-1.94,-1.94,-1.71,NA,NA,NA,NA,NA
Spain,1,47000000,3183,1267.84109,0.27,1.03,0.94,1.01,0.49,62,51.5,73.1,65.1,70
Sri Lanka,0,21000000,353,73.84912618,-0.06,-0.15,-0.13,0.06,-0.45,52,30.7,46.5,57.8,40
Sudan,0,41000000,277,NA,-2.01,-1.41,-1.56,-1.11,-1.54,21.4,21.2,27.8,49.4,20
Suriname,0,600000,1017,NA,0.14,-0.62,-0.54,-0.15,-0.17,21.4,39.9,39.7,48.1,30
Sweden,2,10000000,5299,4545.781315,0.98,1.84,1.8,1.94,2.14,88.2,92.9,92.6,76.3,80
Switzerland,2,8000000,7583,4374.648874,1.21,2.06,1.88,1.93,1.99,82.1,82.8,84.2,81.7,90
Syria,0,18000000,NA,NA,-2.63,-1.79,-1.83,-2.09,-1.56,22.1,23.1,36.7,NA,NA
Taiwan,0,24000000,NA,NA,0.89,1.27,1.37,1.14,0.96,69.2,70.9,84.3,76.6,60
Tajikistan,0,9000000,193,NA,-0.67,-1.12,-1.06,-1.35,-1.33,50.3,38.2,46.8,58.3,30
Tanzania,0,57000000,96,32.13823198,-0.58,-0.63,-0.58,-0.45,-0.48,34.7,31.8,38,59.9,50
Thailand,1,69000000,610,NA,-0.76,0.38,0.14,0.04,-0.39,45.3,34.7,48.6,67.1,60
Timor-Leste,0,1200000,141,NA,0.03,-1,-0.74,-1.17,-0.54,13.8,32,29.9,48.1,20
Togo,0,8000000,96,30.23986105,-0.74,-1.13,-0.79,-0.71,-0.71,28.2,31.4,32.7,47.8,30
Tonga,0,100000,324,NA,0.79,-0.22,-0.4,0.31,-0.16,25.4,40.5,62.1,63.1,20
Trinidad and Tobago,0,1400000,2204,NA,0.29,0.26,0.03,-0.11,-0.36,49.8,33.1,54.9,57.7,50
Tunisia,0,12000000,774,NA,-1.05,-0.07,-0.41,0.07,-0.11,41.7,36.8,49.4,58.9,30
Turkey,0,81000000,996,530.1107637,-1.8,0.07,0.04,-0.25,-0.19,54.5,42,54.7,65.4,60
Turkmenistan,0,6000000,1004,NA,-0.15,-1.21,-2,-1.49,-1.48,5,27.3,29.8,47.1,10
Tuvalu,0,11000,523,NA,1.27,-0.74,-0.79,0.56,0.06,NA,NA,NA,NA,NA
Uganda,0,43000000,139,15.81766893,-0.56,-0.58,-0.22,-0.3,-1.04,40.3,28.3,43.5,62,40
Ukraine,0,45000000,469,173.2468241,-1.89,-0.46,-0.32,-0.71,-0.78,29.5,29,41,51.9,30
United Arab Emirates,1,9000000,2426,NA,0.63,1.4,1.01,0.8,1.13,83.4,77.3,76.3,77.6,60
United Kingdom,2,66000000,4145,2663.581316,0.26,1.41,1.71,1.68,1.84,93.8,79,92.2,78,80
United States,2,326000000,9536,2729.080814,0.3,1.55,1.63,1.64,1.38,76.9,71.9,79.3,75.7,80
Uruguay,1,3500000,1748,NA,1.06,0.42,0.66,0.59,1.29,67,71.6,69.3,69.2,30
Uzbekistan,0,32000000,383,NA,-0.28,-0.56,-1.26,-1.11,-1.16,35.3,24.2,48.7,51.5,10
Vanuatu,1,300000,106,2.562005466,0.71,-0.9,-0.33,0.49,0.01,47.1,75.4,67.9,69.5,40
Venezuela,0,32000000,579,NA,-1.18,-1.4,-1.96,-2.26,-1.36,13.8,7.5,5.2,25.2,10
Vietnam,1,96000000,334,NA,0.31,0,-0.4,0.07,-0.58,36.3,30.4,46.4,53.1,40
Yemen,0,28000000,144,NA,-2.96,-1.92,-1.45,-1.75,-1.59,16.626106465303213,21.2,17.878269117897162,NA,NA
Zambia,0,17000000,203,NA,0.11,-0.62,-0.47,-0.33,-0.54,40.6,36.3,46,54.3,50
Zimbabwe,0,17000000,182,77.64919079,-0.77,-1.19,-1.56,-1.38,-1.27,33,18.9,27.6,44,10
